Org Name,Org Code,Subject,P+A #,P+A %,A #,A %,P #,P %,NI #,NI %,W/F #,W/F %,Stud. Incl. #,CPI,SGP,Incl. in SGP(#)
Abby Kelley Foster Charter Public (District),4450000,ELA,86,99,44,51,42,48,1,1,0,0,87,99.4,73,87
Abby Kelley Foster Charter Public (District),4450000,MTH,70,81,50,58,20,23,11,13,5,6,86,91.3,65,85
Abby Kelley Foster Charter Public (District),4450000,SCI,72,83,27,31,45,52,15,17,0,0,87,94.3,N/A,N/A
Abington,10000,ELA,90,92,50,51,40,41,7,7,1,1,98,97.4,49,89
Abington,10000,MTH,83,86,48,50,35,36,11,11,2,2,96,94.5,44,87
Abington,10000,SCI,67,78,16,19,51,59,17,20,2,2,86,91.3,N/A,N/A
Academy Of the Pacific Rim Charter Public,4120000,ELA,55,100,40,73,15,27,0,0,0,0,55,100,58,52
Academy Of the Pacific Rim Charter Public,4120000,MTH,53,96,42,76,11,20,2,4,0,0,55,99.1,40,51
Academy Of the Pacific Rim Charter Public,4120000,SCI,47,84,15,27,32,57,9,16,0,0,56,94.6,N/A,N/A
Acton-Boxborough,6000000,ELA,450,97,364,78,86,18,10,2,6,1,466,98.9,60,438
Acton-Boxborough,6000000,MTH,445,95,400,85,45,10,13,3,11,2,469,97.7,62,438
Acton-Boxborough,6000000,SCI,431,95,304,67,127,28,16,4,6,1,453,98.1,N/A,N/A
Adams-Cheshire,6030000,ELA,70,85,34,41,36,44,10,12,2,2,82,94.5,42,73
Adams-Cheshire,6030000,MTH,58,70,27,33,31,37,14,17,11,13,83,85.8,24,73
Adams-Cheshire,6030000,SCI,36,44,8,10,28,35,37,46,8,10,81,76.2,N/A,N/A
Advanced Math and Science Academy Charter (District),4300000,ELA,136,100,111,82,25,18,0,0,0,0,136,100,73,136
Advanced Math and Science Academy Charter (District),4300000,MTH,136,100,125,92,11,8,0,0,0,0,136,100,84,134
Advanced Math and Science Academy Charter (District),4300000,SCI,136,99,96,70,40,29,2,1,0,0,138,99.6,N/A,N/A
Agawam,50000,ELA,299,90,145,43,154,46,25,7,10,3,334,96.6,52.5,298
Agawam,50000,MTH,262,78,168,50,94,28,46,14,27,8,335,90.6,45,297
Agawam,50000,SCI,202,64,54,17,148,47,99,31,17,5,318,85,N/A,N/A
Amesbury,70000,ELA,148,92,101,63,47,29,5,3,8,5,161,96.1,66,138
Amesbury,70000,MTH,135,84,110,68,25,16,14,9,12,7,161,92.1,58.5,136
Amesbury,70000,SCI,119,79,45,30,74,49,24,16,7,5,150,91.8,N/A,N/A
Amherst-Pelham,6050000,ELA,217,94,136,59,81,35,9,4,4,2,230,97.9,49,190
Amherst-Pelham,6050000,MTH,197,87,160,70,37,16,18,8,12,5,227,93.9,55.5,186
Amherst-Pelham,6050000,SCI,189,90,81,38,108,51,18,9,4,2,211,96.3,N/A,N/A
Andover,90000,ELA,470,98,343,71,127,26,6,1,5,1,481,99.4,45,429
Andover,90000,MTH,447,93,383,79,64,13,23,5,13,3,483,97,57,429
Andover,90000,SCI,381,82,163,35,218,47,80,17,5,1,466,93.9,N/A,N/A
Arlington,100000,ELA,271,95,214,75,57,20,7,2,7,2,285,98.2,48.5,246
Arlington,100000,MTH,256,90,214,76,42,15,15,5,12,4,283,95.8,50,245
Arlington,100000,SCI,224,84,101,38,123,46,37,14,6,2,267,94.6,N/A,N/A
Ashburnham-Westminster,6100000,ELA,170,93,92,51,78,43,9,5,3,2,182,97.8,40.5,160
Ashburnham-Westminster,6100000,MTH,151,84,103,57,48,27,21,12,8,4,180,93.3,47,159
Ashburnham-Westminster,6100000,SCI,140,81,59,34,81,47,28,16,5,3,173,92.8,N/A,N/A
Ashland,140000,ELA,183,95,133,69,50,26,5,3,4,2,192,98.2,58.5,174
Ashland,140000,MTH,180,93,145,75,35,18,9,5,4,2,193,97.4,65,176
Ashland,140000,SCI,157,87,59,33,98,54,21,12,2,1,180,95.3,N/A,N/A
Assabet Valley Regional Vocational Technical,8010000,ELA,259,96,70,26,189,70,12,4,0,0,271,98.5,40,260
Assabet Valley Regional Vocational Technical,8010000,MTH,205,75,98,36,107,39,55,20,13,5,273,90,50,262
Assabet Valley Regional Vocational Technical,8010000,SCI,216,85,61,24,155,61,35,14,3,1,254,94.4,N/A,N/A
Athol-Royalston,6150000,ELA,78,86,21,23,57,63,10,11,3,3,91,94.5,43,72
Athol-Royalston,6150000,MTH,48,53,27,30,21,23,31,34,11,12,90,78.3,39,71
Athol-Royalston,6150000,SCI,42,56,11,15,31,41,27,36,6,8,75,80.7,N/A,N/A
Attleboro,160000,ELA,381,92,195,47,186,45,24,6,10,2,415,97.3,53,356
Attleboro,160000,MTH,322,78,227,55,95,23,60,14,32,8,414,90,36.5,354
Attleboro,160000,SCI,244,65,51,14,193,51,117,31,15,4,376,86.8,N/A,N/A
