DISTRICT,Org Code,Total # of Classes,Average Class Size,Number of Students,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %"
Abby Kelley Foster Charter Public (District),4450000,779,19.1,"1,430",40.6,4.6,25.3,26.1,0.1,0.1,3.2
Abington,10000,"1,019",21.4,"1,968",2.1,1.6,3.9,91.7,0.3,0.1,0.4
Academy Of the Pacific Rim Charter Public (District),4120000,136,22.1,505,59.2,1.2,20.6,15.6,0,0,3.4
Acton,20000,753,22.6,"2,491",1.8,31.2,3.4,59,0.2,0,4.4
Acton-Boxborough,6000000,"1,280",21,"2,895",1.2,25.4,3.3,66.9,0.2,0,3.1
Acushnet,30000,531,18.5,993,0.5,0.3,1.2,97.8,0,0,0.2
Adams-Cheshire,6030000,854,15.4,"1,407",4.1,0.6,1.5,92.8,0.6,0.2,0.3
Advanced Math and Science Academy Charter (District),4300000,462,19.7,990,3,24.5,4.5,63.9,0.6,0.1,3.2
Agawam,50000,"2,541",16.7,"4,140",1.5,2.4,5.3,88.6,0.1,0.1,2
Alma del Mar Charter School (District),4090000,42,20,200,20,1,43,29,0,0,7
Amesbury,70000,"1,191",19,"2,368",1.4,1.2,4.3,90.3,0,0.1,2.8
Amesbury Academy Charter Public (District),4150000,51,11.2,48,0,2.1,6.3,89.6,0,0,2.1
Amherst,80000,324,20.1,"1,216",9,13.1,20.1,49.3,0.2,0.2,8.1
Amherst-Pelham,6050000,"1,346",13.8,"1,469",7.5,10.3,12.9,60.8,0.1,0,8.4
Andover,90000,"2,749",18.7,"6,185",1.6,14.4,4.8,76.2,0.2,0,2.8
Arlington,100000,"1,813",17.6,"5,021",3.6,10.8,5.2,76.2,0,0.1,4
Ashburnham-Westminster,6100000,"1,308",18.8,"2,314",0.8,0.8,3.9,92.3,0.1,0,2.1
Ashland,140000,"1,113",18.3,"2,614",2.6,9.4,8.5,76.4,0.3,0,2.9
Assabet Valley Regional Vocational Technical,8010000,626,15.5,"1,031",1.4,0.9,13,82.5,0.1,0.1,2
Athol-Royalston,6150000,587,18.5,"1,453",1.7,0.7,5.7,89.5,0.1,0,2.3
Atlantis Charter (District),4910000,306,23.2,796,3.6,2,6.9,84,0.1,0,3.3
Attleboro,160000,"2,820",19.5,"5,897",4.7,4.3,13.1,72.6,0.3,0.1,4.8
Auburn,170000,"1,085",18.5,"2,387",1,3.4,5.1,87.3,0.2,0,3.1
Avon,180000,329,16.4,744,25.1,5.1,6,59.5,0.8,0,3.4
Ayer Shirley School District,6160000,867,17.8,"1,697",5,2.4,10.6,77.5,0.4,0.2,3.8
Barnstable,200000,"1,914",16.8,"4,598",6.9,2.7,8,76.9,0.7,0.3,4.4
Barnstable Community Horace Mann Charter Public (District),4270000,80,18.1,289,5.5,2.4,10,78.2,1,0.3,2.4
Baystate Academy Charter Public School (District),35020000,54,9.3,156,33.3,0.6,53.8,10.3,0,0,1.9
Bedford,230000,"1,212",14.8,"2,527",6.6,12.2,5.1,72.3,0.2,0,3.5
Belchertown,240000,"1,273",16.7,"2,431",1,1.8,3.5,91.5,0.1,0.2,2
Bellingham,250000,834,18,"2,418",1.6,3.6,3.1,89.9,0.2,0,1.6
Belmont,260000,"1,284",21.1,"4,217",3.7,16.9,3.8,69.8,0.1,0.1,5.7
Benjamin Banneker Charter Public (District),4200000,65,21.2,341,80.9,1.5,15,0.3,1.2,0,1.2
Benjamin Franklin Classical Charter Public (District),4470000,203,23,448,0.9,18.5,2,74.8,0.2,0,3.6
Berkley,270000,333,18.7,880,0.7,0.3,1.9,95.7,0,0,1.4
