District,Org Code,Total FTE Memb,General Fund Appropriations,"Grants, Revolving & Other Funds",Total Expenditures,Expenditure Per Pupil
ABINGTON,00010000,"2,036.70","$24,027,141 ","$2,422,821 ","$26,449,962 ","$12,987 "
ACTON,00020000,"2,500.70","$28,592,304 ","$2,850,830 ","$31,443,134 ","$12,574 "
ACTON BOXBOROUGH,06000000,"2,987.90","$38,553,800 ","$6,077,277 ","$44,631,077 ","$14,937 "
ACUSHNET,00030000,"1,285.60","$13,827,824 ","$1,070,792 ","$14,898,616 ","$11,589 "
ADAMS CHESHIRE,06030000,"1,511.80","$17,128,450 ","$2,510,485 ","$19,638,935 ","$12,990 "
AGAWAM,00050000,"4,175.50","$51,830,624 ","$5,152,052 ","$56,982,676 ","$13,647 "
AMESBURY,00070000,"2,511.60","$29,496,781 ","$3,765,786 ","$33,262,567 ","$13,244 "
AMHERST,00080000,"1,287.10","$23,615,972 ","$1,574,890 ","$25,190,862 ","$19,572 "
AMHERST PELHAM,06050000,"1,619.00","$28,509,009 ","$3,180,919 ","$31,689,928 ","$19,574 "
ANDOVER,00090000,"6,263.20","$86,403,709 ","$8,705,525 ","$95,109,234 ","$15,185 "
ARLINGTON,00100000,"5,231.10","$59,336,557 ","$9,111,733 ","$68,448,290 ","$13,085 "
ASHBURNHAM WESTMINSTER,06100000,"2,364.50","$25,872,406 ","$3,947,479 ","$29,819,885 ","$12,611 "
ASHLAND,00140000,"2,706.60","$31,010,735 ","$4,907,769 ","$35,918,504 ","$13,271 "
ASSABET VALLEY,08010000,"1,048.10","$17,569,638 ","$1,694,726 ","$19,264,364 ","$18,380 "
ATHOL ROYALSTON,06150000,"1,772.10","$21,373,028 ","$2,333,955 ","$23,706,983 ","$13,378 "
ATTLEBORO,00160000,"6,241.40","$70,170,903 ","$9,576,359 ","$79,747,262 ","$12,777 "
AUBURN,00170000,"2,392.90","$29,002,251 ","$2,880,069 ","$31,882,320 ","$13,324 "
AVON,00180000,746.2,"$8,508,612 ","$1,518,272 ","$10,026,884 ","$13,437 "
AYER SHIRLEY,06160000,"1,946.60","$22,662,175 ","$3,709,397 ","$26,371,572 ","$13,548 "
